Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;234;238
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;240;244
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;260;264
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;266;270
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;574;578
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;580;584
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;604;608
[CODE-MAX]_10;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;610;614
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;198;200
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/ListProgressServer.hpp;141;143
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;467;470
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;480;483
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;488;491
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;491;494
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;494;497
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;498;501
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;501;504
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;504;507
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;520;522
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;522;525
