Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_8;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;199;214
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;131;137
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;134;140
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;140;146
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;143;149
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;160
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;163;169
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;199;205
[CODE-MAX]_9;15;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;208;214
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;166
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;169;181
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;187;199
[CODE-MAX]_10;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;202;214
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/IMSVishnuException.cpp;5;21
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/TMSVishnuException.cpp;4;20
[CODE-MAX]_11;33;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/UMSVishnuException.cpp;3;16
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;51;57
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/VishnuException.hpp;105;112
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/exception/VishnuException.hpp;126;133
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/Mapper.hpp;54;62
[CODE-MAX]_12;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/sessionUtils.cpp;38;49
[CODE-MAX]_13;93;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/SSHExec.cpp;137;158
[CODE-MAX]_13;93;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/SSHExec.cpp;182;203
[CODE-MAX]_14;59;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;512;525
[CODE-MAX]_14;59;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;584;597
[CODE-MAX]_14;59;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;633;646
[CODE-MAX]_15;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;154;163
[CODE-MAX]_15;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;166;175
[CODE-MAX]_15;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;193;202
[CODE-MAX]_15;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;205;214
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;191;195
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;196;200
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;201;205
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;304;308
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;328;332
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;333;337
[CODE-MAX]_16;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;696;700
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;299;303
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;393;397
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;416;420
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;446;450
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;684;688
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;754;758
[CODE-MAX]_17;18;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;874;878
[CODE-MAX]_18;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;45;51
[CODE-MAX]_18;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;57;63
[CODE-MAX]_18;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;63;69
[CODE-MAX]_18;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.hpp;69;75
[CODE-MAX]_18;8;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/Options.cpp;25;29
