Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_15;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;237;272
[CODE-MAX]_15;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;274;309
[CODE-MAX]_15;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;173;208
[CODE-MAX]_15;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;260;295
[CODE-MAX]_15;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;321;356
[CODE-MAX]_16;233;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;176;235
[CODE-MAX]_16;233;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;237;296
[CODE-MAX]_16;233;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;260;319
[CODE-MAX]_17;233;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;164;223
[CODE-MAX]_17;233;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;225;284
[CODE-MAX]_17;233;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;224;282
[CODE-MAX]_18;308;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;249;326
[CODE-MAX]_18;308;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;211;288
[CODE-MAX]_19;146;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;542;591
[CODE-MAX]_19;146;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;591;640
[CODE-MAX]_19;146;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;689;738
[CODE-MAX]_20;204;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;185;233
[CODE-MAX]_20;204;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;346;395
[CODE-MAX]_20;204;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;359;407
[CODE-MAX]_21;113;VISHNU_1.2.2/core/src/registry/FMSMapper.cpp;138;186
[CODE-MAX]_21;113;VISHNU_1.2.2/core/src/registry/IMSMapper.cpp;135;183
[CODE-MAX]_21;113;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;169;217
[CODE-MAX]_22;294;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;162;233
[CODE-MAX]_22;294;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;309;382
[CODE-MAX]_23;54;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;99;130
[CODE-MAX]_23;54;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;132;168
[CODE-MAX]_23;54;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;157;192
[CODE-MAX]_23;54;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;194;229
[CODE-MAX]_24;63;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;232;264
[CODE-MAX]_24;63;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;243;277
[CODE-MAX]_24;63;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;266;300
[CODE-MAX]_24;63;VISHNU_1.2.2/FMS/src/sed/ServerFMS.cpp;279;314
[CODE-MAX]_25;102;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;555;587
[CODE-MAX]_25;102;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;604;636
[CODE-MAX]_25;102;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;653;685
[CODE-MAX]_25;102;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;702;734
[CODE-MAX]_26;106;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;56;86
[CODE-MAX]_26;106;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;110;140
[CODE-MAX]_26;106;VISHNU_1.2.2/IMS/src/client/SysInfoProxy.cpp;39;69
[CODE-MAX]_26;106;VISHNU_1.2.2/IMS/src/client/ThresholdProxy.cpp;39;69
[CODE-MAX]_27;106;VISHNU_1.2.2/FMS/src/cli/head_of_file.cpp;15;74
[CODE-MAX]_27;106;VISHNU_1.2.2/FMS/src/cli/tail_of_file.cpp;15;73
[CODE-MAX]_28;169;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;302;360
[CODE-MAX]_28;169;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;484;542
[CODE-MAX]_29;57;VISHNU_1.2.2/FMS/src/cli/create_dir.cpp;16;54
[CODE-MAX]_29;57;VISHNU_1.2.2/FMS/src/cli/create_file.cpp;16;54
[CODE-MAX]_29;57;VISHNU_1.2.2/FMS/src/cli/remove_dir.cpp;16;50
[CODE-MAX]_30;77;VISHNU_1.2.2/FMS/src/sed/MonitorFMS.cpp;19;73
[CODE-MAX]_30;77;VISHNU_1.2.2/UMS/src/sed/MonitorUMS.cpp;17;71
[CODE-MAX]_31;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;333;368
[CODE-MAX]_31;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;346;381
[CODE-MAX]_31;143;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;385;418
[CODE-MAX]_32;208;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;679;730
[CODE-MAX]_32;208;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;755;807
[CODE-MAX]_33;147;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;542;591
[CODE-MAX]_33;147;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;640;689
[CODE-MAX]_34;188;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;274;320
[CODE-MAX]_34;188;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;260;307
[CODE-MAX]_35;196;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;185;232
[CODE-MAX]_35;196;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;372;418
[CODE-MAX]_36;80;VISHNU_1.2.2/UMS/src/cli/machineUtils.cpp;46;88
[CODE-MAX]_36;80;VISHNU_1.2.2/UMS/src/cli/userUtils.cpp;44;93
[CODE-MAX]_37;157;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;433;473
[CODE-MAX]_37;157;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;492;532
[CODE-MAX]_38;91;VISHNU_1.2.2/TMS/src/api/api_tms.cpp;177;215
[CODE-MAX]_38;91;VISHNU_1.2.2/TMS/src/api/api_tms.cpp;216;256
[CODE-MAX]_39;74;VISHNU_1.2.2/IMS/src/cli/get_processes.cpp;25;61
[CODE-MAX]_39;74;VISHNU_1.2.2/IMS/src/cli/get_system_info.cpp;24;63
[CODE-MAX]_40;169;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;75;113
[CODE-MAX]_40;169;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;369;405
[CODE-MAX]_41;159;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;333;370
[CODE-MAX]_41;159;VISHNU_1.2.2/UMS/src/sed/ServerUMS.cpp;372;408
[CODE-MAX]_42;112;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;503;538
[CODE-MAX]_42;112;VISHNU_1.2.2/core/src/registry/UMSMapper.cpp;626;661
[CODE-MAX]_43;128;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;253;288
[CODE-MAX]_43;128;VISHNU_1.2.2/TMS/src/client/JobProxy.cpp;132;167
[CODE-MAX]_44;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;225;260
[CODE-MAX]_44;143;VISHNU_1.2.2/IMS/src/sed/ServerIMS.cpp;262;297
[CODE-MAX]_45;109;VISHNU_1.2.2/TMS/src/client/JobProxy.cpp;76;110
[CODE-MAX]_45;109;VISHNU_1.2.2/TMS/src/client/JobProxy.cpp;208;242
[CODE-MAX]_46;104;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;377;409
[CODE-MAX]_46;104;VISHNU_1.2.2/IMS/src/sed/internalApiIMS.cpp;979;1011
[CODE-MAX]_47;108;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;56;87
[CODE-MAX]_47;108;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;110;142
[CODE-MAX]_48;107;VISHNU_1.2.2/FMS/src/client/FileTransferProxy.cpp;80;111
[CODE-MAX]_48;107;VISHNU_1.2.2/TMS/src/client/JobProxy.cpp;137;168
[CODE-MAX]_49;98;VISHNU_1.2.2/FMS/src/client/LocalFileProxy.cpp;149;180
[CODE-MAX]_49;98;VISHNU_1.2.2/FMS/src/client/RemoteFileProxy.cpp;897;927
[CODE-MAX]_50;105;VISHNU_1.2.2/FMS/src/client/FileTransferProxy.cpp;80;110
[CODE-MAX]_50;105;VISHNU_1.2.2/IMS/src/client/ProcessCtlProxy.cpp;258;288
