File;Line;Severity;Rule;Description
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;285;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;287;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;289;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;291;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;293;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;306;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;308;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;310;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\FMSDisplayer.cpp;364;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\registry\FMSMapper.cpp;200;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\get_processes.cpp;51;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\get_processes.cpp;52;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\getInfosSrv.cpp;121;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\head_of_file.cpp;102;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\head_of_file.cpp;103;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\registry\IMSMapper.cpp;134;Required;MISRA_6_4_6;Default clause in switch
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\imssed.cpp;122;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\imssed.cpp;127;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\cli\list_file_transfers.cpp;126;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\cli\list_jobs.cpp;197;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\server\LLServer.cpp;290;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\server\LLServer.cpp;585;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\server\LLServer.cpp;675;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\server\LocalAccountServer.cpp;303;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;90;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;92;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;94;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;96;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;98;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;100;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;102;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;108;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;110;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.cpp;128;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;84;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;90;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;96;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;102;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;107;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;113;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;119;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;125;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;130;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\LocalFileProxy.hpp;171;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\controller\logTool\LogTool.cpp;13;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\lsSrv.cpp;41;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\registry\MapperRegistry.cpp;5;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\MetricServer.cpp;91;Required;MISRA_6_4_6;Default clause in switch
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\MonitorFMS.hpp;25;Required;MISRA_12_1_3;Constructors
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\MYSQLDatabase.cpp;129;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\MYSQLDatabase.cpp;130;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\MYSQLDatabase.cpp;131;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\MYSQLDatabase.cpp;132;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\utils\Options.cpp;109;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\POSTGREDatabase.cpp;135;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\controller\process\ProcessCtl.cpp;25;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\controller\process\ProcessCtl.cpp;26;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\controller\process\ProcessCtl.cpp;134;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\RemoteFileProxy.cpp;360;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\restart.cpp;89;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\ServerFMS.cpp;17;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\ServerFMS.cpp;18;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\sed\ServerFMS.cpp;19;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;20;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;21;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;22;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;23;Required;MISRA_0_1_3;Unused variables
